objectid,autonomia,carretera,causa,fechahora_ini,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incidencia,sentido,tipo,tipolocalizacion,version_incidencia,x,xml_fragment,xml_id,xml_matched_element,xml_parent_child_pos,xml_parent_id,y,x1,y1,actualizado
6603431,GALICIA,A-8,NIEBLA,2020/07/20 17:06:00,Ambos,LU,NEGRO,552,536,MONDOÑEDO,LUGO,LU007189071,Ambos sentidos,METEOROLOGICA,0,7,434542831,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>GALICIA</autonomia>
<provincia>LUGO</provincia>
<matricula>LU</matricula>
<causa>NIEBLA</causa>
<poblacion>MONDOÑEDO</poblacion>
<fechahora_ini>2020-07-20 17:06</fechahora_ini>
<nivel>NEGRO</nivel>
<carretera>A-8</carretera>
<pk_inicial> 536.0</pk_inicial>
<pk_final> 552.0</pk_final>
<sentido>Ambos sentidos</sentido>
<hacia>Ambos</hacia>
<ref_incidencia>LU007189071</ref_incidencia>
<version_incidencia>07</version_incidencia>
<x>43.4542831</x>
<y>-7.3217347</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.1,incidencia,,,-73217347,-7.3217347,43.4542831,21/07/2020 13:03:27
6603432,CASTILLA-LA MANCHA,AB-412, CARRETERA CERRADA EN AMBOS SENTIDOS ,2020/04/06 11:01:00,,AB,NEGRO,3,0,LIETOR,ALBACETE,AB004069040,AMBOS SENTIDOS,CONO,1,1,385422834,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CASTILLA-LA MANCHA</autonomia>
<provincia>ALBACETE</provincia>
<matricula>AB</matricula>
<causa> CARRETERA CERRADA EN AMBOS SENTIDOS </causa>
<poblacion>LIETOR</poblacion>
<fechahora_ini>2020-04-06 11:01</fechahora_ini>
<nivel>NEGRO</nivel>
<carretera>AB-412</carretera>
<pk_inicial>   0.0</pk_inicial>
<pk_final>   3.0</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>AB004069040</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.5422834</x>
<y>-1.9532347</y>
<tipolocalizacion>1</tipolocalizacion>
</incidencia>",id-incidencia-1.2,incidencia,,,-19532347,-1.9532347,38.5422834,21/07/2020 13:03:27
6603433,ANDALUCIA,AL-12, RESTRICCIONES EN ACCESOS ,2020/04/23 06:56:00,,AL,VERDE,0,0,ALMERIA,ALMERIA,AL004239025, ,CONO,0,1,36843326,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>ALMERIA</provincia>
<matricula>AL</matricula>
<causa> RESTRICCIONES EN ACCESOS </causa>
<poblacion>ALMERIA</poblacion>
<fechahora_ini>2020-04-23 06:56</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>AL-12</carretera>
<pk_inicial>   0.0</pk_inicial>
<pk_final>   0.0</pk_final>
<sentido> </sentido>
<hacia></hacia>
<ref_incidencia>AL004239025</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>36.843326</x>
<y>-2.4387769</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.3,incidencia,,,-24387769,-2.4387769,36.843326,21/07/2020 13:03:27
6603434,ANDALUCIA,A-381, CARRIL EN SENTIDO CONTRARIO ,2020/07/20 12:09:00,JEREZ DE LA FRONTERA,CA,VERDE,72.3,71.3,BARRIOS (LOS),CADIZ,CA007208233,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,362572715,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>CADIZ</provincia>
<matricula>CA</matricula>
<causa> CARRIL EN SENTIDO CONTRARIO </causa>
<poblacion>BARRIOS (LOS)</poblacion>
<fechahora_ini>2020-07-20 12:09</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-381</carretera>
<pk_inicial>  71.3</pk_inicial>
<pk_final>  72.3</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia>JEREZ DE LA FRONTERA</hacia>
<ref_incidencia>CA007208233</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>36.2572715</x>
<y>-5.5827914</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.4,incidencia,,,-55827914,-5.5827914,36.2572715,21/07/2020 13:03:27
6603435,ANDALUCIA,A-381, CARRIL EN SENTIDO CONTRARIO ,2020/07/20 12:07:00,JEREZ DE LA FRONTERA,CA,VERDE,67,69,BARRIOS (LOS),CADIZ,CA007209241,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,362779884,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>CADIZ</provincia>
<matricula>CA</matricula>
<causa> CARRIL EN SENTIDO CONTRARIO </causa>
<poblacion>BARRIOS (LOS)</poblacion>
<fechahora_ini>2020-07-20 12:07</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-381</carretera>
<pk_inicial>  69.0</pk_inicial>
<pk_final>  67.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia>JEREZ DE LA FRONTERA</hacia>
<ref_incidencia>CA007209241</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>36.2779884</x>
<y>-5.5837002</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.5,incidencia,,,-55837002,-5.5837002,36.2779884,21/07/2020 13:03:27
6603436,ANDALUCIA,GR-16, RESTRICCIONES EN ACCESOS ,2020/04/07 09:41:00,,GR,VERDE,3.3,3.3,MOTRIL,GRANADA,GR003139202,CRECIENTE DE LA KILOMETRICA,CONO,0,2,367238505,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>GRANADA</provincia>
<matricula>GR</matricula>
<causa> RESTRICCIONES EN ACCESOS </causa>
<poblacion>MOTRIL</poblacion>
<fechahora_ini>2020-04-07 09:41</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>GR-16</carretera>
<pk_inicial>   3.3</pk_inicial>
<pk_final>   3.3</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>GR003139202</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>36.7238505</x>
<y>-3.5152866</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.6,incidencia,,,-35152866,-3.5152866,36.7238505,21/07/2020 13:03:27
6603437,ANDALUCIA,A-49, CARRIL EN SENTIDO CONTRARIO ,2020/02/26 21:01:00,PORTUGAL,H,VERDE,132.9,132.5,AYAMONTE,HUELVA,OH912108278,CRECIENTE DE LA KILOMETRICA,CONO,0,2,3723765,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>HUELVA</provincia>
<matricula>H</matricula>
<causa> CARRIL EN SENTIDO CONTRARIO </causa>
<poblacion>AYAMONTE</poblacion>
<fechahora_ini>2020-02-26 21:01</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-49</carretera>
<pk_inicial> 132.5</pk_inicial>
<pk_final> 132.9</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia>PORTUGAL</hacia>
<ref_incidencia>OH912108278</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>37.23765</x>
<y>-7.41919</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.7,incidencia,,,-741919,-7.41919,37.23765,21/07/2020 13:03:27
6603438,ARAGON,N-240, ITINERARIO ALTERNATIVO ,2020/06/05 09:55:00,,HU,AMARILLO,293.7,291,JACA,HUESCA,HU006059179,AMBOS SENTIDOS,CONO,0,2,425569753,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ARAGON</autonomia>
<provincia>HUESCA</provincia>
<matricula>HU</matricula>
<causa> ITINERARIO ALTERNATIVO </causa>
<poblacion>JACA</poblacion>
<fechahora_ini>2020-06-05 09:55</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>N-240</carretera>
<pk_inicial> 291.0</pk_inicial>
<pk_final> 293.7</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>HU006059179</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>42.5569753</x>
<y>-0.6421522</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.8,incidencia,,,-6421522,-0.6421522,42.5569753,21/07/2020 13:03:27
6603439,GALICIA,A-75, DESVÍO OPERATIVO ,2020/07/01 14:38:00,PORTUGAL,OR,AMARILLO,10.1,10.1,MANDIN,OURENSE,OR007018242,CRECIENTE DE LA KILOMETRICA,CONO,0,1,418379881,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>GALICIA</autonomia>
<provincia>OURENSE</provincia>
<matricula>OR</matricula>
<causa> DESVÍO OPERATIVO </causa>
<poblacion>MANDIN</poblacion>
<fechahora_ini>2020-07-01 14:38</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>A-75</carretera>
<pk_inicial>  10.1</pk_inicial>
<pk_final>  10.1</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia>PORTUGAL</hacia>
<ref_incidencia>OR007018242</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>41.8379881</x>
<y>-7.4201516</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.9,incidencia,,,-74201516,-7.4201516,41.8379881,21/07/2020 13:03:27
6603440,BALEARES,EI-20, SOLO UN CARRIL ,2020/04/01 09:02:00,,PM,AMARILLO,1.5,1.5,EIVISSA,ILLES BALEARS,PM004018040,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,389182963,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>EIVISSA</poblacion>
<fechahora_ini>2020-04-01 09:02</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>EI-20</carretera>
<pk_inicial>   1.5</pk_inicial>
<pk_final>   1.5</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM004018040</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.9182963</x>
<y>1.4192817</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.10,incidencia,,,14192817,1.4192817,38.9182963,21/07/2020 13:03:27
6603441,BALEARES,EI-600, SOLO UN CARRIL ,2020/04/01 09:02:00,,PM,AMARILLO,5.3,5.3,EIVISSA,ILLES BALEARS,PM004018041,CRECIENTE DE LA KILOMETRICA,CONO,0,1,389488299,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>EIVISSA</poblacion>
<fechahora_ini>2020-04-01 09:02</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>EI-600</carretera>
<pk_inicial>   5.3</pk_inicial>
<pk_final>   5.3</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM004018041</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.9488299</x>
<y>1.4084992</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.11,incidencia,,,14084992,1.4084992,38.9488299,21/07/2020 13:03:27
6603442,BALEARES,EI-800, SOLO UN CARRIL ,2020/04/01 09:03:00,,PM,AMARILLO,4.1,4.1,EIVISSA,ILLES BALEARS,PM004019032,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,388844485,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>EIVISSA</poblacion>
<fechahora_ini>2020-04-01 09:03</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>EI-800</carretera>
<pk_inicial>   4.1</pk_inicial>
<pk_final>   4.1</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM004019032</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.8844485</x>
<y>1.3901434</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.12,incidencia,,,13901434,1.3901434,38.8844485,21/07/2020 13:03:27
6603443,BALEARES,EI-600, SOLO UN CARRIL ,2020/04/01 09:00:00,,PM,AMARILLO,10,10,EIVISSA,ILLES BALEARS,PM004018039,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,389688519,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>EIVISSA</poblacion>
<fechahora_ini>2020-04-01 09:00</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>EI-600</carretera>
<pk_inicial>  10.0</pk_inicial>
<pk_final>  10.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM004018039</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.9688519</x>
<y>1.36206</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.13,incidencia,,,136206,1.36206,38.9688519,21/07/2020 13:03:27
6603444,BALEARES,MA-13, SOLO UN CARRIL ,2020/03/31 21:37:00,,PM,AMARILLO,30,30,INCA,ILLES BALEARS,PM003319090,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,3973786,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>INCA</poblacion>
<fechahora_ini>2020-03-31 21:37</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-13</carretera>
<pk_inicial>  30.0</pk_inicial>
<pk_final>  30.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003319090</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>39.73786</x>
<y>2.94293</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.14,incidencia,,,294293,2.94293,39.73786,21/07/2020 13:03:27
6603445,BALEARES,MA-30, SOLO UN CARRIL ,2020/03/31 21:38:00,,PM,AMARILLO,5,5,PALMA,ILLES BALEARS,PM003318101,CRECIENTE DE LA KILOMETRICA,CONO,0,1,395945563,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PALMA</poblacion>
<fechahora_ini>2020-03-31 21:38</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-30</carretera>
<pk_inicial>   5.0</pk_inicial>
<pk_final>   5.0</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003318101</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>39.5945563</x>
<y>2.7161058</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.15,incidencia,,,27161058,2.7161058,39.5945563,21/07/2020 13:03:27
6603446,BALEARES,MA-19, SOLO UN CARRIL ,2020/03/31 21:32:00,,PM,AMARILLO,5,5,PALMA,ILLES BALEARS,PM003318084,CRECIENTE DE LA KILOMETRICA,CONO,0,3,39558536,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PALMA</poblacion>
<fechahora_ini>2020-03-31 21:32</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-19</carretera>
<pk_inicial>   5.0</pk_inicial>
<pk_final>   5.0</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003318084</ref_incidencia>
<version_incidencia>03</version_incidencia>
<x>39.558536</x>
<y>2.6978653</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.16,incidencia,,,26978653,2.6978653,39.558536,21/07/2020 13:03:27
6603447,BALEARES,MA-15, SOLO UN CARRIL ,2020/03/31 21:40:00,,PM,AMARILLO,10,10,PALMA,ILLES BALEARS,PM003319091,CRECIENTE DE LA KILOMETRICA,CONO,0,1,395685464,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PALMA</poblacion>
<fechahora_ini>2020-03-31 21:40</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-15</carretera>
<pk_inicial>  10.0</pk_inicial>
<pk_final>  10.0</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003319091</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>39.5685464</x>
<y>2.7722497</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.17,incidencia,,,27722497,2.7722497,39.5685464,21/07/2020 13:03:27
6603448,BALEARES,MA-1, SOLO UN CARRIL ,2020/04/01 08:28:00,ANDRATX,PM,AMARILLO,4.5,4.5,PALMA,ILLES BALEARS,PM003319086,CRECIENTE DE LA KILOMETRICA,CONO,0,3,395577989,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PALMA</poblacion>
<fechahora_ini>2020-04-01 08:28</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-1</carretera>
<pk_inicial>   4.5</pk_inicial>
<pk_final>   4.5</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia>ANDRATX</hacia>
<ref_incidencia>PM003319086</ref_incidencia>
<version_incidencia>03</version_incidencia>
<x>39.5577989</x>
<y>2.6090976</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.18,incidencia,,,26090976,2.6090976,39.5577989,21/07/2020 13:03:27
6603449,BALEARES,MA-19, SOLO UN CARRIL ,2020/03/31 21:33:00,,PM,AMARILLO,5,5,PALMA,ILLES BALEARS,PM003319089,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,39558536,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PALMA</poblacion>
<fechahora_ini>2020-03-31 21:33</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-19</carretera>
<pk_inicial>   5.0</pk_inicial>
<pk_final>   5.0</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003319089</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>39.558536</x>
<y>2.6978653</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.19,incidencia,,,26978653,2.6978653,39.558536,21/07/2020 13:03:27
6603450,BALEARES,MA-13, SOLO UN CARRIL ,2020/03/31 21:36:00,,PM,AMARILLO,4.5,4.5,PONT D'INCA,ILLES BALEARS,PM003318100,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,396195659,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PONT D'INCA</poblacion>
<fechahora_ini>2020-03-31 21:36</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-13</carretera>
<pk_inicial>   4.5</pk_inicial>
<pk_final>   4.5</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003318100</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>39.6195659</x>
<y>2.7072249</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.20,incidencia,,,27072249,2.7072249,39.6195659,21/07/2020 13:03:27
6603451,BALEARES,MA-13, SOLO UN CARRIL ,2020/03/31 21:35:00,,PM,AMARILLO,4.5,4.5,PONT D'INCA,ILLES BALEARS,PM003319073,CRECIENTE DE LA KILOMETRICA,CONO,0,3,396195659,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>BALEARES</autonomia>
<provincia>ILLES BALEARS</provincia>
<matricula>PM</matricula>
<causa> SOLO UN CARRIL </causa>
<poblacion>PONT D'INCA</poblacion>
<fechahora_ini>2020-03-31 21:35</fechahora_ini>
<nivel>AMARILLO</nivel>
<carretera>MA-13</carretera>
<pk_inicial>   4.5</pk_inicial>
<pk_final>   4.5</pk_final>
<sentido>CRECIENTE DE LA KILOMETRICA</sentido>
<hacia></hacia>
<ref_incidencia>PM003319073</ref_incidencia>
<version_incidencia>03</version_incidencia>
<x>39.6195659</x>
<y>2.7072249</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.21,incidencia,,,27072249,2.7072249,39.6195659,21/07/2020 13:03:27
6603452,ANDALUCIA,N-IV, CARRIL EN SENTIDO CONTRARIO ,2020/05/27 20:05:00,SEVILLA,SE,VERDE,556.5,557.2,DOS HERMANAS,SEVILLA,SE005279316,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,37263483,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>SEVILLA</provincia>
<matricula>SE</matricula>
<causa> CARRIL EN SENTIDO CONTRARIO </causa>
<poblacion>DOS HERMANAS</poblacion>
<fechahora_ini>2020-05-27 20:05</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>N-IV</carretera>
<pk_inicial> 557.2</pk_inicial>
<pk_final> 556.5</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia>SEVILLA</hacia>
<ref_incidencia>SE005279316</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>37.263483</x>
<y>-5.9218295</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.22,incidencia,,,-59218295,-5.9218295,37.263483,21/07/2020 13:03:27
6603453,ANDALUCIA,A-66, CARRIL EN SENTIDO CONTRARIO ,2020/04/16 12:25:00,SERÍN,SE,VERDE,800.6,803.8,SALTERAS,SEVILLA,SE004169095,DECRECIENTE DE LA KILOMETRICA,CONO,0,1,374589164,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>ANDALUCIA</autonomia>
<provincia>SEVILLA</provincia>
<matricula>SE</matricula>
<causa> CARRIL EN SENTIDO CONTRARIO </causa>
<poblacion>SALTERAS</poblacion>
<fechahora_ini>2020-04-16 12:25</fechahora_ini>
<nivel>VERDE</nivel>
<carretera>A-66</carretera>
<pk_inicial> 803.8</pk_inicial>
<pk_final> 800.6</pk_final>
<sentido>DECRECIENTE DE LA KILOMETRICA</sentido>
<hacia>SERÍN</hacia>
<ref_incidencia>SE004169095</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>37.4589164</x>
<y>-6.0448344</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.23,incidencia,,,-60448344,-6.0448344,37.4589164,21/07/2020 13:03:27
6603454,CANARIAS,TF-445, CARRETERA CORTADA A VEHÍCULOS EN TRÁNSITO ,2020/07/07 09:00:00,,TF,NEGRO,9,2.5,TENO,SANTA CRUZ DE TENERIFE,TF007078203,AMBOS SENTIDOS,CONO,0,2,28362042,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CANARIAS</autonomia>
<provincia>SANTA CRUZ DE TENERIFE</provincia>
<matricula>TF</matricula>
<causa> CARRETERA CORTADA A VEHÍCULOS EN TRÁNSITO </causa>
<poblacion>TENO</poblacion>
<fechahora_ini>2020-07-07 09:00</fechahora_ini>
<nivel>NEGRO</nivel>
<carretera>TF-445</carretera>
<pk_inicial>   2.5</pk_inicial>
<pk_final>   9.0</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>TF007078203</ref_incidencia>
<version_incidencia>02</version_incidencia>
<x>28.362042</x>
<y>-16.8661016</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.24,incidencia,,,-168661016,-16.8661016,28.362042,21/07/2020 13:03:27
6603455,COMUNITAT VALENCIANA,CV-935,OBRAS EN GENERAL,2020/03/24 19:57:00,,A,NEGRO,0.9,0,ALMORADI,ALICANTE/ALACANT,OA003248097,AMBOS SENTIDOS,OBRAS,0,1,3809605,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>COMUNITAT VALENCIANA</autonomia>
<provincia>ALICANTE/ALACANT</provincia>
<matricula>A</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>ALMORADI</poblacion>
<fechahora_ini>2020-03-24 19:57</fechahora_ini>
<nivel>NEGRO</nivel>
<carretera>CV-935</carretera>
<pk_inicial>   0.0</pk_inicial>
<pk_final>   0.9</pk_final>
<sentido>AMBOS SENTIDOS</sentido>
<hacia></hacia>
<ref_incidencia>OA003248097</ref_incidencia>
<version_incidencia>01</version_incidencia>
<x>38.09605</x>
<y>-0.79523</y>
<tipolocalizacion>0</tipolocalizacion>
</incidencia>",id-incidencia-1.25,incidencia,,,-79523,-0.79523,38.09605,21/07/2020 13:03:27
